label,house,file,py_file,draw
109,House.b18,wwhp.dck,zpy_wwhp.dck,old
110,House.b18,wwhp.dck,zpy_wwhp.dck,old
111,House.b18,wwhp.dck,zpy_wwhp.dck,old
112,House.b18,wwhp.dck,zpy_wwhp.dck,old
113,House.b18,wwhp.dck,zpy_wwhp.dck,old
114,House.b18,wwhp.dck,zpy_wwhp.dck,old
115,House.b18,wwhp.dck,zpy_wwhp.dck,old
116,House.b18,wwhp.dck,zpy_wwhp.dck,old
117,House.b18,wwhp.dck,zpy_wwhp.dck,old
118,House.b18,wwhp.dck,zpy_wwhp.dck,old
119,House.b18,wwhp.dck,zpy_wwhp.dck,old
120,House.b18,wwhp.dck,zpy_wwhp.dck,old
121,House.b18,wwhp.dck,zpy_wwhp.dck,old
122,House.b18,wwhp.dck,zpy_wwhp.dck,old
123,House.b18,wwhp.dck,zpy_wwhp.dck,old
124,House.b18,wwhp.dck,zpy_wwhp.dck,old
125,House.b18,wwhp.dck,zpy_wwhp.dck,old
126,House.b18,wwhp.dck,zpy_wwhp.dck,old
127,House.b18,wwhp.dck,zpy_wwhp.dck,old
128,House.b18,wwhp.dck,zpy_wwhp.dck,old
129,House.b18,wwhp.dck,zpy_wwhp.dck,old
130,House.b18,wwhp.dck,zpy_wwhp.dck,old
131,House.b18,wwhp.dck,zpy_wwhp.dck,old
132,House.b18,wwhp.dck,zpy_wwhp.dck,old
133,House.b18,wwhp.dck,zpy_wwhp.dck,old
134,House.b18,wwhp.dck,zpy_wwhp.dck,old
135,House.b18,wwhp.dck,zpy_wwhp.dck,old
136,House.b18,wwhp.dck,zpy_wwhp.dck,old
137,House.b18,wwhp.dck,zpy_wwhp.dck,old
138,House.b18,wwhp.dck,zpy_wwhp.dck,old
139,House.b18,wwhp.dck,zpy_wwhp.dck,old
140,House.b18,wwhp.dck,zpy_wwhp.dck,old
141,House.b18,wwhp.dck,zpy_wwhp.dck,old
142,House.b18,wwhp.dck,zpy_wwhp.dck,old
143,House.b18,wwhp.dck,zpy_wwhp.dck,old
144,House.b18,wwhp.dck,zpy_wwhp.dck,old
