label,el_bill_1,el_bill_0.5,el_bill_0.1,el_bill_0,gas_bill,el_em,gas_em,Q2grid,Qfrom_grid,Qpv,Qload,Q4sh,Q4dhw,Qaux,peak_load,peak_export,el_bill_jan_1,el_bill_jan_0.5,el_bill_jan_0.1,el_bill_jan_0,gas_bill_jan,el_em_jan,gas_em_jan,spf_jan,opp_import,opp_export,import_in,export_in,COP_min,COP_median,COP_max,unmet,cost
64,2530.4,2530.4,2530.4,2530.4,0,2559.577205,0,0,6325.135022,0,6325.007706,2461.104723,673.7416921,438.45,5.356960488,0,54.4,54.4,54.4,54.4,0,55.08958354,0,2.493694828,2.765084473,0.080920356,88,8760,2.363877618,2.363877618,5.539593843,1363.9,11450
65,1756,1842.01,1910.7,1928.02,0,1958.830889,0,365.8183117,4755.668219,1036.179115,5180.42612,1254.817499,698.3973306,475.5,5.356960488,0.693162012,34,34.47,34.54,34.94,0,35.67857075,0,2.501931792,2.406849658,-0.589576702,76,8748,2.347678024,2.363877618,4.906733531,1069.2,9575
66,2016.4,2021.64,2025.8,2027.21,0,2077.325252,0,22.04189979,5063.722883,2072.927388,6395.850338,2441.805884,725.1831632,477.15,5.356960488,1.248306954,48.8,48.8,48.8,48.8,0,49.77359466,0,2.469827685,2.44300726,-0.939029736,87,8759,2.363877618,2.363877618,4.949818875,1345.9,21575
67,1425.2,1664.43,1855.72,1903.66,0,1896.611975,0,1017.04212,4580.421042,2073.536736,5156.760239,1257.513506,680.4354428,467.1,5.356960488,1.480650903,32.4,33.34,33.88,34.28,0,34.94216862,0,2.501393231,2.371188571,-1.273575274,68,8740,2.363877618,2.363877618,4.894655972,1072,11975
68,1881.6,1957.74,2018.44,2033.88,0,2067.44945,0,323.6917128,5027.939809,2591.661842,6372.985503,2402.261099,753.7131127,465.3,5.356960488,1.811398685,48.8,48.87,48.87,49.27,0,50.02755614,0,2.498954612,2.405433298,-1.593910509,83,8756,2.363877618,2.363877618,4.89863778,1329.8,20975
69,1997.2,1997.2,1997.2,1997.2,0,2027.24606,0,0,4992.533372,0,4992.514024,1249.874544,608.5781891,382.35,5.356960488,0,36,36,36,36,0,36.62348632,0,2.507103248,2.413120996,0.080920356,88,8760,2.363877618,2.363877618,5.250112277,1063.8,11575
70,2271.2,2271.2,2271.2,2271.2,0,2330.453483,0,0,5677.81129,1035.596658,6379.214511,2428.922057,712.8811629,485.7,5.356960488,0,50.8,50.8,50.8,50.8,0,51.7626707,0,2.475644985,2.502013958,0,88,8760,2.363877618,2.363877618,5.209332305,1335.8,19175
71,1424,1664.71,1857.34,1905.75,0,1899.800246,0,1024.0193,4584.500213,2073.379957,5153.897317,1247.02696,731.7090656,423.45,5.356960488,1.480613657,34,35.01,35.88,36.35,0,36.47800178,0,2.527062737,2.389791803,-1.270227757,67,8739,2.363877618,2.363877618,4.989430718,1068.4,12112.5
72,2270.8,2270.8,2270.8,2270.8,0,2329.951005,0,0,5676.806743,1035.555332,6378.670323,2435.60241,767.0066224,424.35,5.356960488,0,50.8,50.8,50.8,50.8,0,51.72835403,0,2.468061224,2.498112916,0,88,8760,2.335429469,2.363877618,5.431753361,1333.2,19312.5
73,1861.6,1939.62,2001.73,2017.64,0,2048.204059,0,331.6070233,4985.971184,2591.517426,6325.725465,2415.918423,757.2957507,400.8,5.356960488,1.811448113,48.4,48.47,48.47,48.87,0,49.4952639,0,2.482506844,2.445067297,-1.589880704,83,8755,2.363877618,2.363877618,4.983002316,1324.5,21112.5
